Date,Open,High,Low,Close*,Adj Close**,Volume,LogReturn,Volatility,SMA_20,EMA_20,RSI,ATR
2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000,0.012495973772887085,0.007499053777305951,24604.041,24601.728905202035,63.19392522715079,242.6785714285717
2018-05-31,24620.79,24620.79,24352.15,24415.84,24415.84,429740000,-0.010265836652008217,0.007704736514960133,24628.584,24584.0251999447,56.0860896144275,247.1914285714286
2018-06-01,24542.09,24673.6,24542.09,24635.21,24635.21,315710000,0.008944618416039331,0.00790176413522715,24663.837,24588.89994280711,44.9755209719007,254.80642857142837
2018-06-04,24727.55,24859.37,24722.14,24813.69,24813.69,340400000,0.007218796578446019,0.007487209689466082,24691.396,24610.308519682625,44.75042305370559,259.17357142857117
2018-06-05,24820.12,24838.78,24710.82,24799.98,24799.98,306340000,-0.0005526702761141605,0.007466464481346562,24713.529,24628.372470189042,36.5017738955832,249.02642857142823
2018-06-06,24854.14,25146.46,24854.14,25146.39,25146.39,316090000,0.013871500756679438,0.008004576535119967,24752.838,24677.707473028182,35.155611384869744,264.60357142857123
2018-06-07,25192.14,25326.09,25164.48,25241.41,25241.41,357680000,0.003771552345415197,0.007904156144698058,24787.7815,24731.393427977877,39.51672654277914,263.1471428571427
2018-06-08,25209.29,25325.63,25165.7,25316.53,25316.53,317510000,0.0029716422496608376,0.007762254429532329,24816.6315,24787.120720551415,48.863534313989604,266.70642857142826
2018-06-11,25336.67,25402.83,25290.2,25322.31,25322.31,276740000,0.0002282832713033907,0.007741131676942347,24841.188499999997,24838.091128117947,45.02664555617774,248.2228571428568
2018-06-12,25346.82,25364.37,25247.04,25320.73,25320.73,265750000,-6.239751802077587e-05,0.007732886003252484,24862.2545,24884.056734963855,37.138843045576515,238.53714285714236
2018-06-13,25328.65,25362.07,25191.42,25201.2,25201.2,329700000,-0.004731815392790377,0.007582567146085038,24886.994,24914.260855443485,42.25181828308435,234.8449999999996
2018-06-14,25254.65,25332.5,25138.6,25175.31,25175.31,341170000,-0.0010278600990576397,0.007586337699478712,24907.313,24939.12267873458,32.45402778082551,228.6299999999997
2018-06-15,25116.71,25130.82,24894.38,25090.48,25090.48,659370000,-0.0033752610089155194,0.007614976223748485,24926.138,24953.537661712242,37.193803671621204,238.95285714285689
2018-06-18,24944.28,25003.1,24825.77,24987.47,24987.47,337070000,-0.004113992097774983,0.0076918121385699725,24939.757,24956.769312977744,29.663460493930728,221.77142857142826
